node_id,BoroCT2010
774,3019200
775,3019300
776,3019400
777,3019500
778,3019600
779,3019700
780,3019800
781,3019900
782,3020000
783,3020100
784,3020200
785,3020300
786,3020400
787,3020500
788,3020600
789,3020700
790,3020800
791,3021000
792,3021100
793,3021200
794,3021300
795,3021400
796,3021500
797,3021600
798,3021700
799,3021800
800,3021900
801,3022000
802,3022100
803,3022200
804,3022400
805,3022600
806,3022700
807,3022800
808,3022900
809,3023000
810,3023100
811,3023200
812,3023300
813,3023400
814,3023500
815,3023600
816,3023800
817,3024000
818,3024100
819,3024200
820,3024300
821,3024400
822,3024500
823,3024600
824,3024700
825,3024800
826,3024900
827,3025000
828,3025100
829,3025200
830,3025300
831,3025400
832,3025500
833,3025600
834,3025700
835,3025800
836,3025901
837,3025902
838,3026000
839,3026100
840,3026200
841,3026300
842,3026400
843,3026500
844,3026600
845,3026700
846,3026800
847,3026900
848,3027000
849,3027100
850,3027200
851,3027300
852,3027400
853,3027500
854,3027600
855,3027700
856,3027800
857,3027900
858,3028000
859,3028100
860,3028200
861,3028300
862,3028400
863,3028501
864,3028502
865,3028600
866,3028700
867,3028800
868,3028900
869,3029000
870,3029100
871,3029200
872,3029300
873,3029400
874,3029500
875,3029600
876,3029700
877,3029800
878,3029900
879,3030000
880,3030100
881,3030200
882,3030300
883,3030400
884,3030500
885,3030600
886,3030700
887,3030800
888,3030900
889,3031100
890,3031300
891,3031400
892,3031500
893,3031701
894,3031702
895,3031900
896,3032100
897,3032300
898,3032500
899,3032600
900,3032700
901,3032800
902,3032900
903,3033000
904,3033100
905,3033300
906,3033500
907,3033600
908,3033700
909,3033900
910,3034000
911,3034100
912,3034200
913,3034300
914,3034500
915,3034700
916,3034800
917,3034900
918,3035000
919,3035100
920,3035200
921,3035300
922,3035400
923,3035500
924,3035601
925,3035602
926,3035700
927,3035900
928,3036001
929,3036002
930,3036100
931,3036200
932,3036300
933,3036400
934,3036501
935,3036502
936,3036600
937,3036700
938,3036900
939,3037000
940,3037100
941,3037300
942,3037401
943,3037402
944,3037500
945,3037700
946,3037900
947,3038100
948,3038200
949,3038300
950,3038500
951,3038600
952,3038700
953,3038800
954,3038900
955,3039000
956,3039100
957,3039200
958,3039300
959,3039400
960,3039500
961,3039600
962,3039700
963,3039800
964,3039900
965,3040000
966,3040100
967,3040200
968,3040300
969,3040400
970,3040500
971,3040600
972,3040700
973,3040800
974,3040900
975,3041000
976,3041100
977,3041200
978,3041300
979,3041401
980,3041402
981,3041500
982,3041600
983,3041700
984,3041800
985,3041900
986,3042000
987,3042100
988,3042200
989,3042300
990,3042400
991,3042500
992,3042600
993,3042700
994,3042800
995,3042900
996,3043000
997,3043100
998,3043200
999,3043300
1000,3043400
1001,3043500
1002,3043600
1003,3043700
1004,3043800
1005,3043900
1006,3044000
1007,3044100
1008,3044200
1009,3044300
1010,3044400
1011,3044500
1012,3044600
1013,3044700
1014,3044800
1015,3044900
1016,3045000
1017,3045200
1018,3045300
1019,3045400
1020,3045600
1021,3045800
1022,3046000
1023,3046201
1024,3046202
1025,3046400
1026,3046800
1027,3047000
1028,3047200
1029,3047400
1030,3047600
1031,3047700
1032,3047800
1033,3048000
1034,3048100
1035,3048200
1036,3048400
1037,3048500
1038,3048600
1039,3048800
1040,3048900
1041,3049000
1042,3049100
1043,3049200
1044,3049300
1045,3049400
1046,3049500
1047,3049600
1048,3049700
1049,3049800
1050,3049900
1051,3050000
1052,3050100
